row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
126_Arif_2017__ai__1,ai,126_Arif_2017,crop_yield,maize,10,none,0,pooled,pooled,kg/ha,cofactor_matched_control,2200.0,1800.0,Fig. 2e (estimated from bar chart),1,Control + biochar vs Control no biochar; biochar_tha=10; P_source=Control; n=6(2yr),ai-decode
126_Arif_2017__ai__2,ai,126_Arif_2017,crop_yield,maize,10,farmyard_manure,100,pooled,pooled,kg/ha,cofactor_matched_control,3300.0,2800.0,Fig. 2e (estimated from bar chart),1,100%-FYM + biochar vs 100%-FYM no biochar; biochar_tha=10; P_source=100%-FYM; n=6(2yr),ai-decode
126_Arif_2017__ai__3,ai,126_Arif_2017,crop_yield,maize,10,farmyard_manure,75,pooled,pooled,kg/ha,cofactor_matched_control,3500.0,2900.0,Fig. 2e (estimated from bar chart),1,75%-FYM + biochar vs 75%-FYM no biochar; biochar_tha=10; P_source=75%-FYM; n=6(2yr),ai-decode
126_Arif_2017__ai__4,ai,126_Arif_2017,crop_yield,maize,10,farmyard_manure,50,pooled,pooled,kg/ha,cofactor_matched_control,4200.0,3200.0,Fig. 2e (estimated from bar chart),1,50%-FYM + biochar vs 50%-FYM no biochar; biochar_tha=10; P_source=50%-FYM; n=6(2yr),ai-decode
126_Arif_2017__ai__5,ai,126_Arif_2017,crop_yield,maize,10,poultry_manure,100,pooled,pooled,kg/ha,cofactor_matched_control,3200.0,2700.0,Fig. 2e (estimated from bar chart),1,100%-PM + biochar vs 100%-PM no biochar; biochar_tha=10; P_source=100%-PM; n=6(2yr),ai-decode
126_Arif_2017__ai__6,ai,126_Arif_2017,crop_yield,maize,10,poultry_manure,75,pooled,pooled,kg/ha,cofactor_matched_control,3600.0,2800.0,Fig. 2e (estimated from bar chart),1,75%-PM + biochar vs 75%-PM no biochar; biochar_tha=10; P_source=75%-PM; n=6(2yr),ai-decode
126_Arif_2017__ai__7,ai,126_Arif_2017,crop_yield,maize,10,poultry_manure,50,pooled,pooled,kg/ha,cofactor_matched_control,4500.0,3500.0,Fig. 2e (estimated from bar chart),1,50%-PM + biochar vs 50%-PM no biochar; biochar_tha=10; P_source=50%-PM; n=6(2yr),ai-decode
126_Arif_2017__ai__8,ai,126_Arif_2017,crop_yield,maize,10,chemical_fertilizer_dap,100,pooled,pooled,kg/ha,cofactor_matched_control,4000.0,3300.0,Fig. 2e (estimated from bar chart),1,100%-CF + biochar vs 100%-CF no biochar; biochar_tha=10; P_source=100%-CF (DAP); n=6(2yr),ai-decode
126_Arif_2017__ai__9,ai,126_Arif_2017,crop_yield,wheat,10,none,0,pooled,pooled,kg/ha,cofactor_matched_control,1600.0,1300.0,Fig. 2g (estimated from bar chart),1,Control + biochar vs Control no biochar; biochar_tha=10; P_source=Control; n=6(2yr),ai-decode
126_Arif_2017__ai__10,ai,126_Arif_2017,crop_yield,wheat,10,farmyard_manure,100,pooled,pooled,kg/ha,cofactor_matched_control,2800.0,2400.0,Fig. 2g (estimated from bar chart),1,100%-FYM + biochar vs 100%-FYM no biochar; biochar_tha=10; P_source=100%-FYM; n=6(2yr),ai-decode
126_Arif_2017__ai__11,ai,126_Arif_2017,crop_yield,wheat,10,farmyard_manure,75,pooled,pooled,kg/ha,cofactor_matched_control,2900.0,2500.0,Fig. 2g (estimated from bar chart),1,75%-FYM + biochar vs 75%-FYM no biochar; biochar_tha=10; P_source=75%-FYM; n=6(2yr),ai-decode
126_Arif_2017__ai__12,ai,126_Arif_2017,crop_yield,wheat,10,farmyard_manure,50,pooled,pooled,kg/ha,cofactor_matched_control,3300.0,2700.0,Fig. 2g (estimated from bar chart),1,50%-FYM + biochar vs 50%-FYM no biochar; biochar_tha=10; P_source=50%-FYM; n=6(2yr),ai-decode
126_Arif_2017__ai__13,ai,126_Arif_2017,crop_yield,wheat,10,poultry_manure,100,pooled,pooled,kg/ha,cofactor_matched_control,2700.0,2300.0,Fig. 2g (estimated from bar chart),1,100%-PM + biochar vs 100%-PM no biochar; biochar_tha=10; P_source=100%-PM; n=6(2yr),ai-decode
126_Arif_2017__ai__14,ai,126_Arif_2017,crop_yield,wheat,10,poultry_manure,75,pooled,pooled,kg/ha,cofactor_matched_control,3100.0,2600.0,Fig. 2g (estimated from bar chart),1,75%-PM + biochar vs 75%-PM no biochar; biochar_tha=10; P_source=75%-PM; n=6(2yr),ai-decode
126_Arif_2017__ai__15,ai,126_Arif_2017,crop_yield,wheat,10,poultry_manure,50,pooled,pooled,kg/ha,cofactor_matched_control,3600.0,3000.0,Fig. 2g (estimated from bar chart),1,50%-PM + biochar vs 50%-PM no biochar; biochar_tha=10; P_source=50%-PM; n=6(2yr),ai-decode
126_Arif_2017__ai__16,ai,126_Arif_2017,crop_yield,wheat,10,chemical_fertilizer_dap,100,pooled,pooled,kg/ha,cofactor_matched_control,3400.0,2900.0,Fig. 2g (estimated from bar chart),1,100%-CF + biochar vs 100%-CF no biochar; biochar_tha=10; P_source=100%-CF (DAP); n=6(2yr),ai-decode
