row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
166_Haefele_2011__ai__1,ai,166_Haefele_2011,crop_yield,rice,41.3,none,0,irri_2005ws,single_cell,kg/ha,absolute_control,3810.0,3840.0,Table 6,0,site=IRRI; season=2005 WS; CRH vs C,ai-decode
166_Haefele_2011__ai__2,ai,166_Haefele_2011,crop_yield,rice,41.3,npk,medium,irri_2005ws,single_cell,kg/ha,cofactor_matched_control,4720.0,5220.0,Table 6,0,site=IRRI; season=2005 WS; CRH+F vs C+F,ai-decode
166_Haefele_2011__ai__3,ai,166_Haefele_2011,crop_yield,rice,41.3,none,0,irri_2006ds,single_cell,kg/ha,absolute_control,2680.0,2890.0,Table 6,0,site=IRRI; season=2006 DS; CRH vs C,ai-decode
166_Haefele_2011__ai__4,ai,166_Haefele_2011,crop_yield,rice,41.3,npk,medium,irri_2006ds,single_cell,kg/ha,cofactor_matched_control,4790.0,4820.0,Table 6,0,site=IRRI; season=2006 DS; CRH+F vs C+F,ai-decode
166_Haefele_2011__ai__5,ai,166_Haefele_2011,crop_yield,rice,41.3,none,0,irri_2006ws,single_cell,kg/ha,absolute_control,2890.0,3020.0,Table 6,0,site=IRRI; season=2006 WS; CRH vs C,ai-decode
166_Haefele_2011__ai__6,ai,166_Haefele_2011,crop_yield,rice,41.3,npk,medium,irri_2006ws,single_cell,kg/ha,cofactor_matched_control,4320.0,4940.0,Table 6,0,site=IRRI; season=2006 WS; CRH+F vs C+F,ai-decode
166_Haefele_2011__ai__7,ai,166_Haefele_2011,crop_yield,rice,41.3,none,0,irri_2007ds,single_cell,kg/ha,absolute_control,2180.0,2120.0,Table 6,0,site=IRRI; season=2007 DS; CRH vs C,ai-decode
166_Haefele_2011__ai__8,ai,166_Haefele_2011,crop_yield,rice,41.3,npk,medium,irri_2007ds,single_cell,kg/ha,cofactor_matched_control,3210.0,3210.0,Table 6,0,site=IRRI; season=2007 DS; CRH+F vs C+F,ai-decode
166_Haefele_2011__ai__9,ai,166_Haefele_2011,crop_yield,rice,41.3,none,0,irri_2007ws,single_cell,kg/ha,absolute_control,3160.0,3200.0,Table 6,0,site=IRRI; season=2007 WS; CRH vs C,ai-decode
166_Haefele_2011__ai__10,ai,166_Haefele_2011,crop_yield,rice,41.3,npk,medium,irri_2007ws,single_cell,kg/ha,cofactor_matched_control,4070.0,4060.0,Table 6,0,site=IRRI; season=2007 WS; CRH+F vs C+F,ai-decode
166_Haefele_2011__ai__11,ai,166_Haefele_2011,crop_yield,rice,41.3,none,0,irri_2008ds,single_cell,kg/ha,absolute_control,1980.0,2040.0,Table 6,0,site=IRRI; season=2008 DS; CRH vs C,ai-decode
